삼성증권,29000,29600,29900,29050,29250,28700,28350,28000,27800,26700
대우조선해양,24050,24150,24350,23250,23450,23900,23750,23000,23300,22350
한샘,107500,106000,110500,110000,110500,111000,113500,117500,112500,111000
CJ,85000,86500,87200,88000,87800,88200,88900,88900,88700,87100
NH투자증권,8800,9020,8890,8780,8870,8750,8580,8520,8610,8190
쌍용양회,4895,4945,4950,4945,4960,4940,4960,4940,4960,4910
한국항공우주,25050,25050,24700,24400,24450,24700,24350,24100,24000,23800
삼성엔지니어링,12300,12450,12550,12250,12300,12400,12650,12000,12200,11950
한국가스공사,25500,25800,25750,25950,26100,26150,26300,26050,26200,25750
일진머티리얼즈,50800,49850,50300,50000,50500,50900,51500,51200,52600,51600
한미사이언스,35250,34600,34950,35000,35400,35700,34400,34600,34200,35000
롯데쇼핑,79400,80300,81100,80000,80600,81700,80700,80000,81200,78600
농심,367500,368000,371000,374000,370500,376500,383500,391500,387000,383500
BGF리테일,127000,128500,127000,127500,129000,128000,129000,126500,128500,129500
두산중공업,8610,8580,7150,5500,4915,4920,4780,4640,4600,4510
GS건설,27000,27700,27250,27500,27250,27850,27150,26100,26150,25650
메리츠증권,3185,3290,3305,3250,3285,3185,3150,3115,3080,3000
현대해상,23150,23600,23400,23850,23850,23600,22700,22450,22250,22050
신세계,209500,213500,216000,214500,215500,217000,210000,208500,210000,207500
휠라홀딩스,33900,35100,35500,35800,36250,36450,36550,35450,35600,36400
제일기획,17650,17700,18050,18150,17950,17850,17750,17200,17050,16900
오뚜기,558000,561000,561000,563000,567000,571000,575000,565000,569000,573000
팬오션,3615,3680,3695,3630,3705,3740,3750,3725,3715,3715
동서,19050,18650,18900,18300,17850,17500,16150,16250,16000,15900
LS ELECTRIC,61600,58800,55600,54400,52800,53100,54300,52800,52400,49750
일양약품,94000,96700,97600,82900,69200,60800,63000,64800,64200,66700
현대엘리베이,46500,48100,50000,49000,49200,49100,49550,48800,49600,49650
포스코인터내셔널,14300,14600,14300,14250,14100,14150,14350,13900,14100,13850
대한항공,18600,19100,19450,18050,18100,18200,17500,17000,16850,16650
한솔케미칼,154500,154000,153000,144000,149000,154000,148500,141500,141500,139500
한화,23250,23850,24000,23550,23650,23550,24150,23550,23350,22650
HMM,5200,5190,5220,4995,5020,5000,4995,4970,4815,4715
BNK금융지주,5140,5170,5210,5190,5180,5210,5160,5130,5130,5030
한올바이오파마,30000,30150,29500,29800,29400,27500,28450,27950,26550,26300
두산인프라코어,7140,7220,7960,6350,6180,6220,6320,6190,6300,6140
종근당,135500,127500,129000,125000,121500,120000,125500,127000,129500,124500
HDC현대산업개발,22100,21900,21450,21200,21100,21350,21050,20650,20800,19950
대우건설,3490,3530,3570,3645,3615,3665,3600,3485,3515,3410
LS,43850,44650,40900,40000,38250,37050,38100,36450,36150,35000
현대백화점,59700,60800,60800,60400,60500,61200,59800,59900,59500,58700
