LIG넥스원,7073,기계,079550
휴켐스,6725,화학,069260
풍산,6488,철강금속,103140
동아쏘시오홀딩스,6322,기타금융업,000640
화승엔터프라이즈,6235,미분류,241590
삼양사,6178,음식료품,145990
한전기술,6134,서비스업,052690
빙그레,6118,음식료품,005180
S&T모티브,6061,운수장비,064960
삼양홀딩스,5978,기타금융업,000070
애경산업,5969,화학,018250
LG상사,5950,유통업,001120
락앤락,5852,화학,115390
쿠쿠홀딩스,5839,기타금융업,192400
SPC삼립,5781,음식료품,005610
동국제강,5716,철강금속,001230
HDC,5610,기타금융업,012630
LG하우시스,5452,화학,108670
동원시스템즈,5380,화학,014820
넥센타이어,5098,화학,002350
한일현대시멘트,4659,비금속광물,006390
한세실업,4320,섬유의복,105630
세아베스틸,4124,철강금속,001430
CJ CGV,4116,서비스업,079160
세방전지,4018,전기전자,004490
BGF,3982,기타금융업,027410
남해화학,3944,화학,025860
롯데푸드,3707,음식료품,002270
유니드,3703,화학,014830
LF,3523,섬유의복,093050
대교,3507,서비스업,019680
고려제강,3160,철강금속,002240
한라홀딩스,2885,기타금융업,060980
